Subject,Age,Year,Sex,Session,Task,Scorer,Scores,Mean_Perspiration
22,26,2,2,2,Suturing,Scorer2,22,0.002940349
22,26,2,2,3,Suturing,Scorer2,26,0.001118991
22,26,2,2,4,Suturing,Scorer2,24,0.001095778
22,26,2,2,5,Suturing,Scorer2,24,0.000767989
24,25,3,2,1,Suturing,Scorer2,20,-0.002538857
24,25,3,2,2,Suturing,Scorer2,22,-0.001865391
24,25,3,2,3,Suturing,Scorer2,22,0.001526848
24,25,3,2,4,Suturing,Scorer2,22,0.00264187
24,25,3,2,5,Suturing,Scorer2,24,7.94E-05
26,22,1,2,1,Suturing,Scorer2,15,-0.000367012
26,22,1,2,2,Suturing,Scorer2,25,0.000613241
26,22,1,2,3,Suturing,Scorer2,25,0.000512593
26,22,1,2,4,Suturing,Scorer2,20,-0.000114624
26,22,1,2,5,Suturing,Scorer2,25,0.000697178
