,X,Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP
185,185,10,24,2,Male,Session5,Scorer2,Cutting,21,NA,NA
186,186,11,22,1,Male,Session1,Scorer2,Cutting,10,-0.001372228,0.006183538
187,187,11,22,1,Male,Session2,Scorer2,Cutting,12,-0.001854004,0.005701762
188,188,11,22,1,Male,Session3,Scorer2,Cutting,14,0.002746713,0.010302478
189,189,11,22,1,Male,Session4,Scorer2,Cutting,19,0.002357718,0.009913484
190,190,11,22,1,Male,Session5,Scorer2,Cutting,16,0.001173404,0.00872917
191,191,12,23,1,Male,Session1,Scorer2,Cutting,16,9.94861E-05,0.007655252
192,192,12,23,1,Male,Session2,Scorer2,Cutting,20,0.001263367,0.008819133
193,193,12,23,1,Male,Session3,Scorer2,Cutting,25,0.002280952,0.009836718
194,194,12,23,1,Male,Session4,Scorer2,Cutting,25,0.002655464,0.01021123
195,195,12,23,1,Male,Session5,Scorer2,Cutting,24,0.003040255,0.010596021
196,196,13,22,1,Male,Session1,Scorer2,Cutting,19,0.000337011,0.007892777
197,197,13,22,1,Male,Session2,Scorer2,Cutting,20,-0.000357259,0.007198507
198,198,13,22,1,Male,Session3,Scorer2,Cutting,23,3.00427E-05,0.007585809
199,199,13,22,1,Male,Session4,Scorer2,Cutting,22,-0.000667841,0.006887925
200,200,13,22,1,Male,Session5,Scorer2,Cutting,25,-0.000922061,0.006633705
201,201,19,23,1,Female,Session1,Scorer2,Cutting,20,NA,NA
202,202,19,23,1,Female,Session2,Scorer2,Cutting,24,0.000708714,0.00826448
203,203,19,23,1,Female,Session3,Scorer2,Cutting,26,0.000513184,0.00806895
204,204,19,23,1,Female,Session4,Scorer2,Cutting,27,0.000912617,0.008468383
205,205,19,23,1,Female,Session5,Scorer2,Cutting,28,0.001504098,0.009059864
206,206,21,22,1,Female,Session1,Scorer2,Cutting,18,0.000770346,0.008326112
207,207,21,22,1,Female,Session2,Scorer2,Cutting,21,-0.000216196,0.00733957
208,208,21,22,1,Female,Session3,Scorer2,Cutting,24,-0.000568409,0.006987357
209,209,21,22,1,Female,Session4,Scorer2,Cutting,22,0.000867734,0.0084235
210,210,21,22,1,Female,Session5,Scorer2,Cutting,26,0.002958445,0.010514211
211,211,22,26,2,Female,Session1,Scorer2,Cutting,14,0.001730125,0.009285891
212,212,22,26,2,Female,Session2,Scorer2,Cutting,21,0.002196792,0.009752558
213,213,22,26,2,Female,Session3,Scorer2,Cutting,24,0.001265183,0.008820949
214,214,22,26,2,Female,Session4,Scorer2,Cutting,25,0.000509536,0.008065302
215,215,22,26,2,Female,Session5,Scorer2,Cutting,24,-5.37751E-06,0.007550388
216,216,24,25,3,Female,Session1,Scorer2,Cutting,14,-0.002541608,0.005014158
217,217,24,25,3,Female,Session2,Scorer2,Cutting,23,-0.001528961,0.006026805
218,218,24,25,3,Female,Session3,Scorer2,Cutting,23,0.001050479,0.008606245
219,219,24,25,3,Female,Session4,Scorer2,Cutting,29,0.001740522,0.009296288
220,220,24,25,3,Female,Session5,Scorer2,Cutting,24,0.000850373,0.008406139
221,221,26,22,1,Female,Session1,Scorer2,Cutting,12,-0.000638905,0.006916861
222,222,26,22,1,Female,Session2,Scorer2,Cutting,25,9.24911E-05,0.007648257
223,223,26,22,1,Female,Session3,Scorer2,Cutting,22,0.00056395,0.008119715
224,224,26,22,1,Female,Session4,Scorer2,Cutting,24,-0.000409321,0.007146445
225,225,26,22,1,Female,Session5,Scorer2,Cutting,25,0.000781028,0.008336794
226,226,1,22,1,Male,Session1,Scorer2,Suturing,15,0.00041444,0.007970206
227,227,1,22,1,Male,Session2,Scorer2,Suturing,13,0.00085854,0.008414306
228,228,1,22,1,Male,Session3,Scorer2,Suturing,17,0.000185969,0.007741735
229,229,1,22,1,Male,Session4,Scorer2,Suturing,18,NA,NA
230,230,1,22,1,Male,Session5,Scorer2,Suturing,23,NA,NA
231,231,2,23,1,Male,Session1,Scorer2,Suturing,17,-0.005634191,0.001921575
232,232,2,23,1,Male,Session2,Scorer2,Suturing,19,-0.004840203,0.002715563
233,233,2,23,1,Male,Session3,Scorer2,Suturing,14,0.000272413,0.007828179
234,234,2,23,1,Male,Session4,Scorer2,Suturing,21,-0.000696164,0.006859602
235,235,2,23,1,Male,Session5,Scorer2,Suturing,22,-0.00081158,0.006744186
236,236,3,23,1,Male,Session1,Scorer2,Suturing,17,-0.001502171,0.006053595
237,237,3,23,1,Male,Session2,Scorer2,Suturing,22,NA,NA
238,238,3,23,1,Male,Session3,Scorer2,Suturing,23,0.001176573,0.008732338
239,239,3,23,1,Male,Session4,Scorer2,Suturing,25,0.002526015,0.010081781
240,240,3,23,1,Male,Session5,Scorer2,Suturing,24,-0.000217822,0.007337944
241,241,4,23,1,Male,Session1,Scorer2,Suturing,11,0.000990617,0.008546383
242,242,4,23,1,Male,Session2,Scorer2,Suturing,17,5.95207E-05,0.007615287
243,243,4,23,1,Male,Session3,Scorer2,Suturing,22,-0.001289909,0.006265857
244,244,4,23,1,Male,Session4,Scorer2,Suturing,24,0.000241088,0.007796853
245,245,4,23,1,Male,Session5,Scorer2,Suturing,19,0.000567027,0.008122793
246,246,7,25,3,Male,Session1,Scorer2,Suturing,23,-8.62265E-05,0.007469539
247,247,7,25,3,Male,Session2,Scorer2,Suturing,25,-4.47916E-06,0.007551287
248,248,7,25,3,Male,Session3,Scorer2,Suturing,24,0.016190243,0.023746009
249,249,7,25,3,Male,Session4,Scorer2,Suturing,28,-0.000497204,0.007058562
250,250,7,25,3,Male,Session5,Scorer2,Suturing,23,0.000846084,0.00840185
251,251,8,22,1,Male,Session1,Scorer2,Suturing,10,NA,NA
252,252,8,22,1,Male,Session2,Scorer2,Suturing,20,-0.002098909,0.005456857
253,253,8,22,1,Male,Session3,Scorer2,Suturing,26,-0.000871458,0.006684308
254,254,8,22,1,Male,Session4,Scorer2,Suturing,29,0.000212254,0.00776802
255,255,8,22,1,Male,Session5,Scorer2,Suturing,25,-0.000955869,0.006599897
256,256,10,24,2,Male,Session1,Scorer2,Suturing,13,-0.000388136,0.00716763
257,257,10,24,2,Male,Session2,Scorer2,Suturing,14,NA,NA
258,258,10,24,2,Male,Session3,Scorer2,Suturing,18,0.000674917,0.008230683
259,259,10,24,2,Male,Session4,Scorer2,Suturing,19,0.000794676,0.008350442
260,260,10,24,2,Male,Session5,Scorer2,Suturing,21,NA,NA
261,261,11,22,1,Male,Session1,Scorer2,Suturing,17,-0.000564729,0.006991037
262,262,11,22,1,Male,Session2,Scorer2,Suturing,21,-0.001358432,0.006197334
263,263,11,22,1,Male,Session3,Scorer2,Suturing,23,0.001632317,0.009188083
264,264,11,22,1,Male,Session4,Scorer2,Suturing,22,0.000992751,0.008548516
265,265,11,22,1,Male,Session5,Scorer2,Suturing,16,0.001036241,0.008592007
266,266,12,23,1,Male,Session1,Scorer2,Suturing,10,0.000647747,0.008203513
267,267,12,23,1,Male,Session2,Scorer2,Suturing,16,0.000581202,0.008136968
268,268,12,23,1,Male,Session3,Scorer2,Suturing,20,0.002340688,0.009896454
269,269,12,23,1,Male,Session4,Scorer2,Suturing,22,0.002211148,0.009766913
270,270,12,23,1,Male,Session5,Scorer2,Suturing,24,0.001114447,0.008670213
271,271,13,22,1,Male,Session1,Scorer2,Suturing,15,0.000380757,0.007936523
272,272,13,22,1,Male,Session2,Scorer2,Suturing,15,0.000228226,0.007783992
273,273,13,22,1,Male,Session3,Scorer2,Suturing,19,-0.000383011,0.007172755
274,274,13,22,1,Male,Session4,Scorer2,Suturing,18,-0.000206637,0.007349129
275,275,13,22,1,Male,Session5,Scorer2,Suturing,25,2.95511E-05,0.007585317
276,276,19,23,1,Female,Session1,Scorer2,Suturing,16,NA,NA
277,277,19,23,1,Female,Session2,Scorer2,Suturing,24,-0.000614011,0.006941755
278,278,19,23,1,Female,Session3,Scorer2,Suturing,27,-0.000869574,0.006686192
279,279,19,23,1,Female,Session4,Scorer2,Suturing,24,0.001520901,0.009076667
280,280,19,23,1,Female,Session5,Scorer2,Suturing,28,0.001417039,0.008972805
281,281,21,22,1,Female,Session1,Scorer2,Suturing,17,0.000933202,0.008488968
282,282,21,22,1,Female,Session2,Scorer2,Suturing,19,-0.001159026,0.00639674
283,283,21,22,1,Female,Session3,Scorer2,Suturing,16,0.001956897,0.009512663
284,284,21,22,1,Female,Session4,Scorer2,Suturing,23,0.004036705,0.011592471
285,285,21,22,1,Female,Session5,Scorer2,Suturing,26,0.005111483,0.012667249
286,286,22,26,2,Female,Session1,Scorer2,Suturing,12,0.00376329,0.011319056
287,287,22,26,2,Female,Session2,Scorer2,Suturing,22,0.002940349,0.010496115
288,288,22,26,2,Female,Session3,Scorer2,Suturing,26,0.001118991,0.008674756
289,289,22,26,2,Female,Session4,Scorer2,Suturing,24,0.001095778,0.008651544
290,290,22,26,2,Female,Session5,Scorer2,Suturing,24,0.000767989,0.008323755
291,291,24,25,3,Female,Session1,Scorer2,Suturing,20,-0.002538857,0.005016909
292,292,24,25,3,Female,Session2,Scorer2,Suturing,22,-0.001865391,0.005690375
293,293,24,25,3,Female,Session3,Scorer2,Suturing,22,0.001526848,0.009082614
294,294,24,25,3,Female,Session4,Scorer2,Suturing,22,0.00264187,0.010197636
295,295,24,25,3,Female,Session5,Scorer2,Suturing,24,7.93638E-05,0.00763513
296,296,26,22,1,Female,Session1,Scorer2,Suturing,15,-0.000367012,0.007188754
297,297,26,22,1,Female,Session2,Scorer2,Suturing,25,0.000613241,0.008169007
298,298,26,22,1,Female,Session3,Scorer2,Suturing,25,0.000512593,0.008068359
299,299,26,22,1,Female,Session4,Scorer2,Suturing,20,-0.000114624,0.007441141
300,300,26,22,1,Female,Session5,Scorer2,Suturing,25,0.000697178,0.008252944
